grn,substance,notifier,closure_date,outcome
958,Fungal oil (≥40% arachidonic acid) from Mortierella alpina strain AF,"Hubei Fuxing Biotechnology Co., Ltd.",03/26/2021,withdrawn
960,Hypromellose acetate succinate,"Shin-Etsu Chemical Co., Ltd.",12/21/2021,no questions
961,β-glucan derived from Agrobacterium sp. CCTCC No. M2010020,"Sichuan Synlight Biotech, Ltd.",05/19/2021,withdrawn
962,Rice bran wax,McCain Foods Ltd.,03/17/2022,withdrawn
963,Fungal oil (≥40% arachidonic acid) from Mortierella alpina,BASF Corporation,10/19/2021,no questions
964,Lysophospholipase enzyme preparation from Aspergillus niger produced by Trichoderma reesei,DuPont Nutrition & Biosciences),09/09/2021,no questions
965,Arabinase enzyme preparation produced by Aspergillus tubingensis,"Shin Nihon Chemical Co., Ltd.",07/20/2021,no questions
966,Preparations containing three to eight bacteriophages specific to Campylobacter jejuni,"Intralytix, Inc.",10/06/2021,no questions
967,Soluble egg-white protein produced by Komagataella phaffii strain GSD-1209,Clara Foods Co.,09/09/2021,no questions
968,Rebaudioside B,Blue California,03/10/2022,no questions
969,Bacillus subtilis Bss-19 spore preparation,"Danisco USA, Inc. (Dupont Nutrition and Biosciences)",10/06/2021,no questions
970,Enzyme-modified steviol glycosides,"Shandong Shengxiangyuan Biotechnology Co., Ltd",04/09/2021,no questions
971,Bacillus clausii strain 088AE spore preparation,Advanced Enzyme Technologies Ltd.,03/03/2022,no questions
972,Pectin hydrolysate from carrot pomace,NutriLeads B.V.,03/25/2022,no questions
973,Maple wood fiber,"Renmatrix, Inc.",05/13/2021,withdrawn
974,Maltogenic alpha-amylase enzyme preparation produced by Bacillus subtilis,AB Enzymes Inc.,02/02/2022,no questions
975,Maltogenic alpha-amylase enzyme preparation produced by Bacillus licheniformis carrying the gene coding for maltogenic alpha-amylase from Geobacillus stearothermophilus,Novazymes NA,07/08/2021,no questions
976,Sodium hyaluronate,"Bloomage Biotechnology Corp., Ltd.",05/24/2021,withdrawn
977,D-tagatose produced via novel enzymatic cascade,"Bonumose, LLC",10/21/2021,no questions
978,Hydrolyzed aqueous olive pulp extract,Oliphenol LLC,12/10/2021,no questions
979,Pectin esterase enzyme preparation produced by Aspergillus oryzae expressing a pectin esterase gene from A. tubingensis,"8211 W. Broward Blvd. Suite 375 Plantation, FL 33324",10/18/2021,no questions
980,Dry whole milk,"ByHeart, Inc.",07/13/2021,no questions
981,Sterol esterase enzyme preparation produced by Trichoderma reesei expressing a gene encoding sterol esterase from Melanocarpus albomyces,AB Enzymes Inc.,05/10/2022,no questions
982,Polygalacturonase enzyme preparation produced by Aspergillus oryzae expressing a polygalacturonase gene from A. tubingensis Mosseray,AB Enzymes Inc.,02/02/2022,no questions
983,Purified steviol glycosides from the leaves of Stevia rebaudiana (Bertoni),"Zhucheng Haotian Pharm Co., Ltd",06/28/2021,no questions
984,Wolffia globosa,Hinoman Ltd.,10/08/2021,withdrawn
985,Bifidobacterium longum subsp. infantis strain ATCC SD 6720,"Danisco, USA Inc.",12/21/2021,no questions
986,Chlorella sorokiniana powder and C. sorokiniana micro powder,"Chlorella Industry Co., Ltd.",12/21/2021,no questions
987,2'-fucosyllactose,"Amyris, Inc.",02/02/2022,withdrawn
988,Lactobacillus fermentum LfQi6,"Quorum Innovations, LLC",03/28/2022,no questions
989,Bacillus subtilis expressing a modified gene encoding a variant of the wild-type subtilisin from B. clausii,Danisco US Inc. (operating as DuPont Nutrition and Biosciences),06/30/2022,no questions
990,Short-chain fructooligosaccharides,Tata Chemicals Limited,10/08/2021,no questions
991,Chitosanase enzyme preparation produced by Bacillus subtilis,Advanced Enzyme Technologies Ltd.,08/31/2022,no questions
992,White mulberry ( Morus alba Linn) leaf extract,Phynova Group Limited,05/06/2022,withdrawn
994,"Miracle fruit ( Synsepalum dulcificum ), in pulp, powder, or protein forms",Joywell Foods Inc.,10/26/2021,withdrawn
995,β-glucans from Antrodia cinnamomea strain ATCC 200183,Super Beta Glucan,06/14/2022,no questions
996,Synthetic amorphous silica,DouxMatok Ltd.,02/04/2022,no questions
999,Enzyme-modified steviol glycosides,"Zhucheng Haotian Pharm Co., Ltd",12/03/2021,no questions
1000,Phycocyanin-rich extract of Galdieria sulphuraria ( G. sulphuraria strain FCC3424),Fermentalg,03/08/2022,withdrawn
1001,Myoglobin preparation from a strain of Pichia pastoris expressing the myoglobin gene from Bos taurus,"Motif FoodWorks, Inc.",12/03/2021,no questions
1002,Bifidobacterium breve strain MCC1274,"Morinaga Milk Industry Co., Ltd.",07/22/2022,no questions
1003,Bifidobacterium longum subsp. infantis M-63,"Morinaga Milk Industry Co., Ltd",04/26/2022,no questions
1004,Maltosyltrehalose syrup,"Hayashibara Co., Ltd.",01/20/2022,withdrawn
1005,β-Lactoglobulin from cow milk,Arla Foods Ingredients Group P/S,03/03/2022,withdrawn
1007,Bacillus subtilis strain R0179,Lallemand Health Solutions,12/16/2022,withdrawn
1008,Algal oil (≥45% docosahexaenoic acid) from Aurantiochytrium limacinum TKD-1,"ATK Biotech Co., Ltd.",02/25/2022,no questions
1009,Water-soluble palm fruit extract,Malaysian Palm Oil Board,06/24/2022,withdrawn
1010,Rebaudioside M obtained by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni),"Manus Bio, Inc.",01/26/2022,no questions
1011,Alpha-amylase enzyme preparation produced by Bacillus subtilis strain AR-651 expressing the gene encoding alpha-amylase from Thermoactinomyces vulgaris,AB Enzymes Inc.,07/18/2022,no questions
1012,Powdered sap from Angelica keiskei (ashitaba) containing 8% chalcones (ashitaba sap),"Japan Bio Science Laboratory-USA, Inc.",04/07/2022,withdrawn
1013,Lactobacillus rhamnosus DSM 33156,"Chr. Hansen, Inc.",12/15/2021,no questions
1014,2'-fucosyllactose,Chr. Hansen A/S,07/15/2022,no questions
1015,3'-sialyllactose sodium salt,Chr. Hansen A/S,07/15/2022,no questions
1016,6'-sialyllactose sodium salt,Chr. Hansen A/S,07/15/2022,no questions
1017,Lacto- N -tetraose,Chr. Hansen A/S,08/23/2022,no questions
1018,Carbon monoxide,"Cargill, Incorporated",08/11/2022,no questions
1019,Agave mixed fructans from Agave tequilana Weber var. azul,Inulina Y Miel de Agave S.A. de C.V.,02/27/2023,no questions
1020,Protein from Helianthus annuus (sunflower protein),"Austrade, Inc.",06/14/2022,withdrawn
1022,Streptococcus salivarius DB-B5,Dose Biosystems Inc.,08/22/2022,no questions
1024,D-psicose,Blue California,03/02/2023,no questions
1025,Pepsin A enzyme preparation produced by Pichia pastoris to overexpress the gene encoding pepsin A,Clara Foods Co.,01/06/2023,no questions
1026,Silk fibroin derived from Bombyx mori cocoons,"Cambridge Crops, Inc. d/b/a Mori",08/11/2022,no questions
1029,D-psicose,"L&P Food Ingredient Co., Ltd",08/04/2023,no questions
1030,Cellulase enzyme preparation produced by Aspergillus niger genetically engineered to express a cellulase gene from Trichoderma reesei,Novozymes North America Inc.,02/15/2023,no questions
1031,Barley and rice protein hydrolysate,"EverGrain, LLC",10/20/2022,no questions
1032,D-β-hydroxybutyrate,Osaka Gas Chemicals Co. Ltd.,06/02/2022,no questions
1034,2'-fucosyllactose,Glycom A/S,10/21/2022,no questions
1035,Lacto- N -fucopentaose I with 2'-fucosyllactose,Glycom A/S,01/19/2023,no questions
1036,Complexation products of iron with sodium citrate,"Cargill, Inc.",10/06/2022,no questions
1037,3-fucosyllactose,Glycom A/S,11/07/2022,no questions
1038,Preparation containing six bacteriophages (phage) specific to Salmonella enterica spp. serovars,FINK TEC GmbH,05/11/2023,no questions
1039,Lactase enzyme preparation produced by Aspergillus oryzae,"Godo Shusei Co., Ltd.",04/06/2023,no questions
1040,2'-fucosyllactose,Chr. Hansen A/S,09/22/2022,withdrawn
1041,Dry whole milk,"Nara Organics, Inc.",05/10/2022,no questions
1042,Menaquinone-7 derived from a specific strain of Bacillus subtilis natto,"GF Fermentech, Inc.",04/03/2023,withdrawn
1043,Cetylated fatty acids,Pharmanutra S.p.A.,10/26/2022,no questions
1044,Calcium disodium ethylenediaminetetraacetic acid,Jade Tiger Abalone,05/25/2022,withdrawn
1045,Resistant dextrin from tapioca,Anderson Global Group,08/26/2022,no questions
1046,Collagenase enzyme preparation from genetically modified Streptomyces violaceoruber expressing a collagenase gene,Nagase & Co. Ltd.,06/22/2023,no questions
1049,Medium-chain triacylglycerols,Nestlé Nutrition,09/21/2022,no questions
1050,High 2-palmitic acid vegetable oil,"The Nisshin OilliO Group, Ltd.",07/18/2022,withdrawn
1052,3'-sialyllactose sodium salt,"Kyowa Hakko Bio Co., Ltd.",04/18/2023,no questions
1053,6'-sialyllactose sodium salt,"Kyowa Hakko Bio Co., Ltd.",05/12/2023,no questions
1054,Glucose oxidase enzyme preparation produced by Aspergillus niger expressing the gene encoding glucose oxidase from A. niger,Danisco US Inc. (A Wholly Owned-Subsidiary of International Flavors & Fragrances),07/14/2023,no questions
1055,Xylanase enzyme preparation produced by Bacillus licheniformis strain expressing the xylanase gene from Chryseobacterium,Novozymes North America Inc.,04/04/2023,no questions
1056,β-lactoglobulin produced by Komagataella phaffii strain yRMK-66,Remilk Ltd.,02/15/2023,no questions
1058,Polyvinyl alcohol,NABACO LLC,06/09/2023,no questions
1059,Lacto- N -neotetraose,Glycom A/S,12/02/2022,no questions
1060,2'-fucosyllactose,Glycom A/S,04/04/2023,no questions
1062,Saccharomyces cerevisiae strain OYR-185,"Omega Yeast Labs, LLC",04/05/2023,no questions
1067,Lacto- N -neotetraose,Inbiose N.V.,04/04/2023,no questions
1068,Lacto- N -tetraose,Inbiose N.V.,06/05/2023,no questions
1070,Preparations containing six bacteriophages (phage) specific to Salmonella enterica,FINK TEC GmbH,03/10/2023,no questions
1072,Lemnaceae fiber,"Lemnature AquaFarms USA, Inc.",01/30/2023,withdrawn
1074,3'-sialyllactose sodium salt,Inbiose N.V.,04/05/2023,no questions
1075,6'-sialyllactose sodium salt,Inbiose N.V.,03/22/2023,no questions
1085,Lactobacillus casei strain KCTC 12398BP,Cell Biotech Co. Ltd.,10/27/2023,no questions
1086,Lactobacillus plantarum KCTC 10782BP,Cell Biotech Co. Ltd.,10/27/2023,no questions
1089,Lactobacillus gasseri strain NCIMB 30370,Chr. Hansen,06/20/2023,no questions
1090,Bifidobacterium bifidum strain NITE BP-31,"Meiji Co., Ltd.",04/05/2023,no questions
1092,Bifidobacterium animalis subsp. lactis IDCC 4301,"Ildong Bioscience Co., Ltd.",06/23/2023,no questions
1093,Lacticaseibacillus rhamnosus IDCC 3201,"Ildong Bioscience Co., Ltd.",06/09/2023,no questions
1095,Bacillus subtilis strain ATCC AAN000002 spore preparation,"Aanika Biosciences, Inc.",09/11/2023,no questions
1096,Saccharomyces cerevisiae strain OYR-243,"Omega Yeast Labs, LLC",07/05/2023,no questions
1099,3-fucosyllactose,Chr. Hansen A/S,08/29/2023,no questions
1101,Dried biomass of Chlamydomonas reinhardtii strain TAI114,Triton Algae Innovations,09/01/2023,withdrawn
1104,Egg-white protein produced by Komagataella phaffii ATCC GSD-1235,Clara Foods Co. DBA The EVERY Company,10/17/2023,no questions
1105,Polyglycerol polyricinoleic acid,Unilever,06/14/2023,no questions
1106,Rebaudioside I obtained by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside I),"Manus Bio, Inc.",06/16/2023,no questions
1108,Lactiplantibacillus plantarum strain MCC 0537,"Advanced Enzyme Technologies, Ltd.",08/16/2023,no questions
1113,Lactobacillus plantarum NCIMB 30562,Chr. Hansen A/S,07/20/2023,no questions
1114,Bifidobacterium breve DSM 33444,Chr. Hansen A/S,07/10/2023,no questions
1115,Fungal oil (≥40% arachidonic acid (ARA)) from Mortierella alpina strain AF,"Hubei Fuxing Biotechnology Co., Ltd.",09/18/2023,no questions
1118,Pyrroloquinoline quinone disodium salt,"Zhejiang Medicine Co., ltd.",07/31/2023,no questions
1123,Sucrose fatty acid esters,Mitsubishi Chemical Corporation,11/03/2023,no questions
1124,β-glucans from Hericium erinaceus strain BCRC 35669,"Super Beta Glucan, Inc.",09/28/2023,withdrawn
1128,Algal oil (≥35% docosahexaenoic acid) from Schizochytrium sp.,Jiangsu Grand Xianle Pharmaceutical Co.,12/13/2023,withdrawn
1131,Bacillus subtilis ATCC BS50 PTA-127287,"BIO-CAT Microbials, LLC",10/20/2023,no questions
1133,Resistant dextrin from corn,Anderson Global Group,01/22/2024,no questions
1135,Galacto-oligosaccharides,"Vitalus Nutrition, Inc.",11/03/2023,withdrawn
1136,Dry whole goat milk,Jovie USA LLC,10/31/2023,no questions
1137,Protein-sucrose,Incredo Ltd.,01/19/2024,no questions
1051,2'-fucosyllactose,"Kyowa Hakko Bio Co., Ltd.",11/21/2023,no questions
1156,Algal oil (≥35% docosahexaenoic acid) from Schizochytrium sp. FJRK-SCH3,"Runke Bioengineering (Fujian) Co., Ltd.",02/08/2024,withdrawn
1162,Fungal oil (≥38% arachidonic acid (ARA)) from Mortierella alpina FJRK-MA01,"Runke Bioengineering (Fujian) Co., Ltd.",02/08/2024,withdrawn
650,2'- O -fucosyllactose,Glycom A/S,11/23/2016,no questions
659,Lacto- N -neotetraose,Glycom A/S,11/23/2016,no questions
717,Short-chain fructo-oligosaccharides,"Galam, Ltd.",02/13/2018,no questions
752,"Preparation containing the bacterial monophages, BP-63 and LVR16-A, specific to Salmonella","Phagelux, Inc.",07/13/2018,no questions
757,Preparation containing two bacterial phages specific to Escherichia coli O157,Micreos B.V.,08/03/2018,no questions
765,Dehulled hemp seed,"Fresh Hemp Foods, Ltd.",12/20/2018,no questions
771,Hemp seed protein,Fresh Hemp Foods Ltd.,12/20/2018,no questions
778,Hemp seed oil,Fresh Hemp Foods Ltd.,12/20/2018,no questions
829,Powdered Aspergillus oryzae grown with one or more added minerals,"Cura Global Health, Inc.",12/09/2019,no questions
878,Glucosylated steviol glycosides,"Daepyung Co., Ltd.",12/19/2019,no questions
955,Bacillus subtilis strain BS-MB40 PTA-122264 spore preparation,"BIO-CAT Microbials, LLC",03/26/2021,no questions
834,Preparation containing bacterial phages specific to shiga-toxin producing Escherichia coli,"Intralytix, Inc.",11/08/2019,no questions
610,Isomaltodextrin,"Hayashibara Co., Ltd.",06/06/2016,no questions
571,2'-Fucosyllactose,"Jennewein Biotechnologie, GmgH",11/06/2015,no questions
435,Preparation consisting of six bacterial monophage specific to Salmonella enterica (monophage cocktail),"Intralytix, Inc.",02/22/2013,no questions
1084,Lactobacillus rhamnosus KCTC 12202BP,"Rejimus, Inc.",10/31/2023,no questions
1107,Bifidobacterium longum subsp. infantis strain LMG 11588,Nestlé Nutrition,11/15/2023,no questions
1079,Bifidobacterium longum strain KCTC 12200BP,"Rejimus, Inc.",10/31/2023,no questions
1065,Anaerobutyricum soehngenii CH106,Caelus Health,04/14/2023,no questions
1097,Maltogenic alpha-amylase enzyme preparation produced by Escherichia coli expressing a gene encoding a maltogenic alpha-amylase from Geobacillus stearothermophilus,Advanced Enzymes Technologies Ltd.,12/07/2023,no questions
1083,Lactobacillus acidophilus KCTC 11906BP,"Rejimus, Inc.",10/31/2023,no questions
1063,Weissella cibaria CMU,"OraPharm, Inc.",04/14/2023,no questions
1130,Lactobacillus rhamnosus CGMCC 21225,"Glac Biotech Co., Ltd.",09/28/2023,no questions
1149,High-selenium Saccharomyces cerevisiae yeast,"Cypress Systems, Inc.",12/12/2023,withdrawn
1091,2'-fucosyllactose,Inbiose N.V.,12/01/2023,no questions
1127,Lactiplantibacillus plantarum ATCC-202195,"Danisco USA, Inc.",02/01/2024,no questions
1134,Bacteriophage preparation specific to Salmonella Enteritidis,"Qingdao Phagepharm Bio-Tech Co., Ltd",02/08/2024,no questions
1082,Bifidobacterium lactis strain KCTC 11904BP,"Rejimus, Inc.",10/31/2023,no questions
1140,Enzyme-modified steviol glycosides,Tate & Lyle,10/17/2023,no questions
1143,Bacillus subtilis NRRL 68053,Microbial Discovery Group,01/19/2024,no questions
1125,Pea protein fermented by shiitake mycelia,"MycoTechnology, inc.",03/27/2024,no questions
886,Monoacylglycerides from grape seed,Apeel Sciences,07/13/2020,no questions
648,Monoglycerides,Apeel Sciences,12/13/2016,no questions
1110,Polygalacturonase enzyme preparation produced by Trichoderma reesei expressing a gene encoding a polygalacturonase from Aspergillus kawachii,AB Enzymes Inc.,02/14/2024,withdrawn
1111,"Endo-1,4-β-xylanase enzyme preparation produced by Bacillus subtilis expressing the gene encoding xylanase from B. subtilis",AB Enzymes Inc.,02/15/2024,withdrawn
1121,Fructanase enzyme preparation produced by Trichoderma reesei expressing the gene encoding fructanase from Lactobacillus sp.,AB Enzymes Inc.,02/15/2024,withdrawn
1132,Hydrolyzed poultry protein,Norilia AS,01/29/2024,no questions
1146,Nuclease enzyme preparation produced by Bacillus amyloliquefaciens expressing the gene encoding a nuclease from Serratia marcescens,c-LEcta GmbH,06/12/2024,no questions
1138,Hydroxytyrosol,Hangzhou Viablife Biotech,09/28/2023,withdrawn
1078,Bifidobacterium bifidum strain KCTC 12199BP,"Rejimus, Inc.",10/31/2023,no questions
1028,Metschnikowia pulcherrima DANMET-A and M. fructicola DANMET-B,Danstar Ferment AG,11/21/2022,withdrawn
1080,Bifidobacterium breve strain KCTC 12201BP,"Rejimus, Inc.",10/31/2023,no questions
1081,Bifidobacterium infantis strain KCTC 11859BP,"Rejimus, Inc.",10/31/2023,no questions
1094,Saccharomyces cerevisiae strain BY-989 expressing a gene encoding a carbon-sulfur lyase from Citrobacter freundii,Berkeley Fermentation Science Inc.,11/28/2023,no questions
1150,Triacylglycerol lipase enzyme preparation produced by Trichoderma reesei expressing a gene for triacylglycerol lipase from Thermomyces lanuginosis,AB Enzymes Inc.,02/15/2024,withdrawn
1158,Lactiplantibacillus plantarum DSM 34613,"Scott Laboratories, Inc.",05/08/2024,no questions
1172,"liquid milk, both whole and nonfat, combined with lactose and water",Synlait Milk Limited,05/20/2024,no questions
1179,Liquid whole cow milk,"Crossway Foods, Ltd.",09/24/2024,no questions
1057,D-psicose,Tate & Lyle,01/25/2024,no questions
1033,Hydrolyzed Saccharomyces cerevisiae,Fytexia Corp,05/31/2023,no questions
1021,Transglutaminase enzyme preparation produced by Streptomyces mobaraensis strain M2020197,"Taixing Dongsheng Bio-Tech Co., Ltd.",11/03/2022,no questions
1129,Heat-killed Clostridium tyrobutyricum strain ASM#19,"Superbrewed Food, Inc.",02/22/2024,no questions
1119,Olea europaea L. leaf extract,BioActor B.V.,02/08/2024,no questions
1109,β-agarase enzyme preparation produced by Streptomyces coelicolor,Dyne Bio Inc.,04/15/2024,no questions
1098,Chickpea protein concentrate,"Tate & Lyle, PLC",08/28/2023,no questions
1088,Lactococcus lactis strain KCTC 11865BP,Cell Biotech Co. Ltd.,12/15/2023,no questions
1087,Streptococcus thermophilus strain KCTC 11870BP,Cell Biotech Co. Ltd.,12/15/2023,no questions
1071,Glucose oxidase enzyme preparation produced by Saccharomyces cerevisiae expressing a gene encoding a glucose oxidase from Aspergillus niger,Lallemand Inc.,09/28/2023,no questions
1066,Carnobacterium divergens strain M35,Fumoir Grizzly Inc.,04/26/2023,no questions
1064,Whole fruit pomegranate extract,Verdure Sciences,09/19/2023,no questions
1048,Aminopeptidase enzyme preparation produced by Trichoderma reesei expressing a gene encoding an aminopeptidase from Aspergillus clavatus,Danisco US Inc. (A Wholly Owned-Subsidiary of International Flavors & Fragrances),08/31/2023,no questions
1120,α-Galactosidase enzyme preparation produced by Aspergillus niger,Novozymes North America,06/05/2024,no questions
1159,Heyndrickxia coagulans strain MTCC 25460 spore preparation,"Pellucid Lifesciences Pvt., Limited",05/06/2024,no questions
1157,2'-fucosyllactose,"Synaura Biotechnology (Shanghai) Co., Ltd.",08/07/2024,no questions
1153,Pongamia bean oil,"Terviva, Inc.",05/23/2024,withdrawn
1151,Fava bean protein,Cooperative Koninklijke Cosun U.A.,06/12/2024,no questions
1190,Saccharomyces cerevisiae strain OYR-481 expressing a gene encoding acetolactate decarboxylase from Brevibacillus brevis,"Omega Yeast Labs, LLC",09/27/2024,no questions
1183,Monellin preparation produced by Komagataella phaffii P-MON-040 expressing a gene encoding for a modified monellin,"Oobli, Inc.",11/22/2024,no questions
1175,Lactiplantibacillus plantarum DSM 23881,Nordwise BioCC OÜ,10/22/2024,no questions
1167,Brazzein produced by Komagataella phaffii expressing a gene encoding for brazzein from Pentadiplandra brazzeana,"Perfect Day, Inc.",10/08/2024,no questions
1006,Short-chain fructooligosaccharides,Ingredion Incorporated,01/19/2022,no questions
537,Short-chain fructo-oligosaccharides,Ingredion Incorporated,02/06/2015,no questions
1076,Galacto-oligosaccharides,"Vitalus Nutrition, Inc.",03/02/2023,no questions
943,"Citrus fiber from the peels of oranges, lemons, or limes",CP Kelco ApS,04/09/2021,no questions
1117,Mycelial biomass from Neurospora crassa,The Better Meat Co.,07/09/2024,no questions
751,Maltogenic alpha-amylase from Bacillus stearothermophilus produced in Bacillus subtilis,"Novozymes North America, Inc.",07/31/2018,no questions
791,Urolithin A,Amazentis SA,12/20/2018,no questions
1152,Phoenix oyster mushroom ( Pleurotus pulmonarius ) mycelia biomass,Mushlabs GmbH,03/21/2024,withdrawn
1160,Lemna leaf protein,Plantible Foods,05/06/2024,withdrawn
1154,Triacylglycerol lipase enzyme preparation produced by Komagataella phaffii expressing the gene encoding lipase from Fusarium oxysporum,Lallemand Inc.,08/15/2024,no questions
926,Soluble rice flour,Cargill Incorporated,01/05/2021,no questions
998,Corn bran arabinoxylan,"AgriFiber Solutions, LLC",10/25/2021,withdrawn
935,L-carnitine-L-tartrate,Ausnutria B.V.,11/30/2020,withdrawn
933,Algal oil (≥36% docosahexaenoic acid) from Schizochytrium sp. strain DHF,"Hubei Fuxing BioTechnology, Co., Ltd.",11/13/2020,no questions
932,2'-fucosyllactose,Advanced Protein Technologies Corp.,02/18/2021,no questions
917,Preparation containing three bacterial phages specific to Salmonella,Gum Products International,09/10/2020,no questions
916,Dihydroquercetin,Blue California,05/19/2021,no questions
908,Lipase from Penicillium camemberti,"Amano Enzyme, Inc.",02/05/2021,no questions
892,Refined shea butter,AAK USA Inc.,07/07/2020,withdrawn
888,Preparation containing three bacterial phages specific to Salmonella,Gum Products International,02/28/2020,withdrawn
882,Rebaudioside M,"Cargill, Inc.",02/02/2020,no questions
876,Hydroxytyrosol,Nova Mentis Ltd,01/21/2020,no questions
874,Corn protein,"Cargill, Inc.",04/29/2020,withdrawn
867,Rebaudioside M,"Cargill, Inc.",09/03/2019,withdrawn
866,Lipase from Penicillium camemberti,"Amano Enzyme, Inc.",02/05/2020,withdrawn
860,Algal oil (36% docosahexaenoic acid) from Schizochytrium sp. strain DHF,Hubei Fuxing BioTechnology,09/03/2019,withdrawn
859,2'-fucosyllactose,"Advanced Protein Technologies, Corp.",09/06/2019,withdrawn
837,Hydroxytyrosol,Nova Mentis Ltd.,06/05/2019,withdrawn
828,D-psicose,Samyang Corporation,03/02/2020,no questions
826,Dihydroquercetin,Blue California,09/25/2019,withdrawn
806,Dolomite,Hogan Lovells US LLP,05/17/2019,no questions
805,Apple peel powder,Leahy Orchards Inc.,03/08/2019,no questions
787,Quinoa sprout powder,Vis Vitalis Gmbh,09/09/2018,no questions
755,D-psicose,SamYang Corp.,05/10/2018,withdrawn
753,Sodium thiocyanate,Taradon Laboratory,07/31/2018,no questions
741,Dimethyl ether,Callaghan Innovation,05/18/2018,no questions
721,Galacto-oligosaccharides,Vitalus Nutrition Inc.,12/19/2017,no questions
720,Rice bran wax,The J.M. Smucker Company,01/16/2018,no questions
712,Calcium acetate,Niacet Corporation,02/05/2018,withdrawn
706,Siraitia grosvenorii Swingle (Luo Han Guo) fruit extract,"Hunan NutraMax, Inc",08/17/2017,no questions
705,Distarch phosphate,"Ingredion, Inc.",11/09/2017,no questions
696,Dolomite,Hogan Lovells US LLP,10/03/2017,withdrawn
695,Dimethyl ether,Callaghan Innovation,08/29/2017,withdrawn
692,Quinoa sprout extract,VIS VITALIS gmbh,11/03/2017,withdrawn
688,Sodium thiocyanate,Taradon Laboratory,08/25/2017,withdrawn
687,Inulin from Agave tequilana,IIDEA (Industrializadora Integral del Agave SA de CV),05/08/2017,withdrawn
671,Galacto-oligosaccharides (GOS),Vitalus Nutrition Inc.,04/11/2017,withdrawn
663,Distarch phosphate,"Ingredion, Inc.",09/30/2016,withdrawn
655,Rice bran wax,J.M. Smucker Company,09/20/2016,withdrawn
629,Siraitia grosvenorii Swingle (Luo Han Guo) fruit extract,"Hunan NutraMax, Inc.",07/15/2016,withdrawn
613,Apple peel powder,"Leahy Orchards, Inc.",03/08/2016,withdrawn
582,Inulin from Agave tequilana,NSF International,11/25/2015,withdrawn
577,Salts from dried mineral water (65% NaCl),Salinity Food,12/04/2015,no questions
524,Phospholipase A2 enzyme preparation from Trichoderma reesei carrying a phospholipase A2 gene from Aspergillus nishimurae,AB Enzymes GmbH,11/10/2014,no questions
508,Salts from dried mineral water (65% NaCl),"Salinity Food, AB",09/24/2014,withdrawn
490,Phospholipase A2 enzyme preparation from Trichoderma reesei,AB Enzymes GmbH,03/05/2014,withdrawn
465,Cow's milk-derived lactoferrin,"Morinaga Milk Industry Co., Ltd",02/18/2014,no questions
464,Cow's milk-derived lactoferrin,"Morinaga Milk Industry Co., Ltd",02/18/2014,no questions
427,Corn hull fiber,"Z Trim Holdings, Inc.",09/12/2012,no questions
404,"Cyclic dextrin, highly branched","Ezaki Glico Co., Ltd.",09/10/2012,no questions
368,Corn hull fiber,"Z Trim Holdings, Inc.",04/06/2011,withdrawn
358,"Cyclic dextrin, highly branched","Takashi Kuriki Ezaki Glico Co., Ltd.",02/01/2011,withdrawn
194,Carbon monoxide,"Freezing Machines, Inc.",01/25/2012,no questions
166,Carbon monoxide,"Freezing Machines, Inc.",09/29/2005,withdrawn
1144,Miracle fruit ( Synsepalum dulcificum ) powder,Miracle Fruit Farm LLC,12/20/2023,no questions
1116,Shea stearin,"AAK USA, Inc.",12/14/2023,no questions
1102,Invertase enzyme preparation produced by Trichoderma reesei expressing a gene for invertase from Aspergillus niger,AB Enzymes Inc.,02/15/2024,withdrawn
1100,Fractionated whey protein concentrate containing 41% alpha-lactalbumin,Arla Foods Ingredients Group P/S,10/27/2023,no questions
1073,Corn bran arabinoxylan,"AgriFiber Solutions, LLC",03/21/2023,no questions
1069,Corn protein,"Cargill, Inc.",02/05/2024,no questions
1126,Calcium acetate,Niacet Corporation,06/07/2024,no questions
1139,Transglutaminase enzyme preparation produced by Bacillus licheniformis carrying a gene encoding transglutaminase from Streptomyces mobaraensis,Novozymes North America,07/02/2024,no questions
1145,β-lactoglobulin produced by Aspergillus oryzae strain Ao_st0002,Imagindairy Ltd.,12/18/2023,no questions
236,Galacto-oligosaccharides,Friesland Foods Domo,07/28/2008,no questions
997,"Chitosan and beta -1,3-glucans from white button mushrooms ( Agaricus bisporus )",Chinova Bioworks Inc.,02/28/2022,no questions
1142,Brazzein produced by Komagataella phaffii expressing a gene encoding for brazzein from Pentadiplandra brazzeana,"Oobli, Inc.",03/11/2024,no questions
730,Arachidonic-acid rich oil from Mortierella alpina strain LU 166,"Linyi Youkang Biology Co., Ltd.",03/30/2018,no questions
735,2'-Fucosyllactose,"Glycosyn, LLC and Friesland Campina Domo B.V.",04/06/2018,no questions
1148,D-psicose,Daesang Corporation,09/30/2024,no questions
740,Glycolipids from Dacryopinax spathularia,IMD Natural Solutions GmbH,05/17/2018,no questions
1206,Rebaudioside M produced by enzymatic treatment of rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Adorvia Biotechnology Co., Ltd.",02/28/2025,no questions
1240,Lacticaseibacillus rhamnosus ATCC PTA-126815,"Wecare Probiotics Co., Ltd.",07/08/2025,no questions
