fcn_no,effective_date,effective_year,substance,manufacturer
273,"Nov 13, 2002",2002,"2-Propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chloride, polymer with 2-propenoic acid and N-2-propen-1-amine hydrochloride, 2,2'-azobis(2-methylpropanimidamide) dihydrochloride- initiated. (CAS Reg. No. 343837-39-8).",Solenis LLC
270,"Dec 18, 2002",2002,"A silver-zinc-sodium aluminosilicate zeolite containing up to 2.9 percent by weight of silver and 19 percent by weight of zinc. The finished zeolite will also contain small amounts of calcium metaphosphate, zinc oxide and silica.","Kanebo Chemical Industries, Ltd."
268,"Oct 18, 2002",2002,"Tris(2,4-di-tert-butylphenyl)phosphite (CAS Reg. No. 31570-04-4).",Addivant
267,"Oct 18, 2002",2002,"A mixture of: 1) imidazolium compounds, 2-(C 17 and C 17 unsaturated alkyl)-1-(2-(C 18 and C 18 unsaturated amido)ethyl)-1-ethyl-4,5-dihydro-, ethyl sulfates (CAS Reg. No. 91053-16-6); and 2) amides, C 18 and C 18 -unsaturated, N-(2-(2-(C17 and C17-unsaturated alkyl)-4,5-dihydro-1H-imidazol-1-yl)ethyl) (CAS Reg. No. 71808-32-7).",Solenis LLC
263,"Nov 26, 2002",2002,"Pyrrolo(3,4-c)pyrrole-1,4-dione,2,5-dihydro-3,6-bis(4-(octadecylthio)phenyl)- (CAS Reg. No. 247089-62-9).",Colors and Effects USA LLC
262,"Oct 11, 2002",2002,"Nylon 6/69 (CAS Reg. No. 51995-62-1), manufactured by the condensation of 49.5+ 0.5 weight percent epsilon-caprolactam, 19.4+0.2 weight percent hexamethylenediamine, and 31.2+0.3 weight percent azelaic acid.",EMS Chemie AG
260,"Oct 3, 2002",2002,Tetrafluoroethylene-hexafluoropropylene-vinylidene fluoride copolymers (CAS Reg. No. 25190-89-0).,Dyneon LLC
259,"Oct 25, 2002",2002,C.I. Pigment Yellow 189 (Nickel titanium tungsten oxide)(CAS Reg. No. 69011-05-8).,Colors and Effects USA LLC
257,"Nov 30, 2002",2002,α-sulfo-ω-(dodecyloxy)poly(oxyethylene) sodium salt (CAS Reg. No. 9004-82-4). The FCS is also known as sodium lauryl ether sulfate.,Stepan Company
256,"Oct 19, 2002",2002,"N,N,N',N'-tetrakis(2-hydroxyethyl)hexanediamide (CAS Reg. No. 6334-25-4).",EMS Chemie AG/EMS Primid
254,"Aug 31, 2002",2002,"Methyl acrylate-divinylbenzene-diethylene glycol divinyl ether terpolymer, aminolyzed with dimethylaminopropylamine and partially quaternized with methyl chloride. (CAS Reg. No. 65997-24-2).","DDP Specialty Electronic Materials US 5, LLC"
253,"Aug 28, 2002",2002,"Iso-butylene/maleic anhydride copolymer, sodium salt (CAS Reg. No. 39612-00-5) cross-linked with 1.9 percent by weight glycerol and 1.25 percent by weight 1,4-butanediol.","Camelot Technologies, Ltd."
251,"Aug 24, 2002",2002,"Hexanedioic acid, polymer with 1,3-benzenedimethanamine (CAS Reg. No. 25718-70-1), meeting the specifications in 21 CFR 177.1500(b) item 10.2, when tested by the method given in 21 CFR 177.1500(c). The FCS is also known as Nylon MXD-6.","FCS: Mitsubishi Gas Chemical Company, Inc., Tokyo, Japan; Polymers modified with the FCS: Gruppo Mossi & Ghisolfi"
250,"Oct 5, 2002",2002,"Poly(N-vinylformamide), 20-100 percent hydrolyzed, chloride or sulfate salts. The FCS is specifically known as one of the following: a) formamide, N-ethenyl-, polymer with ethanamine, hydrochloride (CAS Reg. No. 111616-55-8); b) formamide, N-ethenyl-, polymer with ethanamine, sulfate (CAS Reg. No. 117985-59-8); and c) formamide, ethenyl-, homopolymer, hydrolyzed, hydrochlorides, (CAS Reg. No. 183815-54-5).",BASF AG/BASF Corporation
248,"Aug 16, 2002",2002,"Silver zinc glass, of nominal composition silver (0.47 percent +/- 0.1 percent)-zinc (21 percent +/- 2.0 percent)-aluminum-boron phosphate (=/> 76.4 percent) glass.","Kanebo Chemical Industries, Ltd."
247,"Aug 13, 2002",2002,"A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing tetrafluoroethylene, (CAS Reg. No. 116-14-3), perfluoro-2,5-dimethyl-3,6-dioxanonane vinyl ether (CAS Reg. No. 2599-84-0), and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexene (CAS Reg. No. 106108-22-9), and subsequent curing of the terpolymer (CAS Reg. No. 106108-23-0) with triallylisocyanurate (CAS Reg. No. 1025-15-6) and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane (CAS Reg. No. 78-63-7).","Greene, Tweed and Company, Inc."
246,"Aug 13, 2002",2002,"Fluorocarbon cured elastomer produced by copolymerizing tetrafluoroethylene (CAS Reg. No. 116-14-3) and propylene (CAS Reg. No. 115-07-01) and subsequent curing of the copolymer (CAS Reg. No. 27029-05-6) with triallylisocyanurate (CAS Reg. No. 1025-15-6) and 2,2'-bis(tert-butylperoxy)diisopropylbenzene (CAS Reg. No. 25155-25-3).","Greene, Tweed and Company, Inc."
245,"Aug 13, 2002",2002,"A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing tetrafluoroethylene, (CAS Reg. No. 116-14-3), perfluoromethyl vinyl ether (CAS Reg. No. 1187-93-5), and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexane (CAS Reg. No. 106108-22-9), and subsequent curing of the terpolymer (CAS Reg. No. 193018-53-0) with triallylisocyanurate (CAS Reg. No. 1025-15-6) and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane (CAS Reg. No. 78-63-7).","Greene, Tweed and Company, Inc."
244,"Sep 26, 2002",2002,"Styrene/butadiene/acrylonitrile copolymers (SBA) (CAS Reg. No., exclusive of minor monomers: 9003-56-9) containing no more than 30 weight percent acrylonitrile and no more than 10 weight percent of total polymer units from one or more of the following monomers: acrylic acid, 2-hydroxyethyl acrylate, itaconic acid, and methacrylic acid.",Synthomer Inc.
239,"Jul 31, 2002",2002,"A mixture consisting of 63-72 percent oxidized bis(hydrogenated tallow alkyl)amines, 12-15 percent bis(hydrogenated tallow alkyl)amines, 4-8 percent (hydrogenated tallow alkyl)nitrones, and 5-12 percent (hydrogenated tallow alkyl)oximes.",BASF Corporation
238,"Jul 31, 2002",2002,Diethylene glycol monobenzoate (CAS Reg. No. 20587-61-5).,Velsicol Chemical Corp.
237,"Jul 26, 2002",2002,"Quino(2,3-b)acridine-7,14-dione,5,12-dihydro-,(1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl derivatives (CAS Reg. No. 332142-67-3). This FCS is a mixture of phthalimidomethyl derivatives of quinacridone.",Colors and Effects USA LLC
236,"Jul 19, 2002",2002,"Poly(1,4-cyclohexylenedimethylene-1,4-cyclohexanedicarboxylate) (CAS Reg. No. 219566-57-1).",SABIC Innovative Plastics
235,"Sep 12, 2002",2002,Tin antimony oxide (CAS Reg. No. 12673-86-8). The food contact substance is also known as tin antimony gray cassiterite.,Colors and Effects USA LLC
234,"Jul 16, 2002",2002,"Phenol,2,2'-methylenebis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)- (CAS Reg. No. 103597-45-1).",Asahi Denka Kogyo K.K.
233,"Aug 23, 2002",2002,"2-propenoic acid, homopolymer, calcium sodium salt (CAS Reg. No. 35830-10-5).","Polacryl, Inc."
232,"Jul 10, 2002",2002,"Phosphorous acid, bis(2,4-bis(1,1-dimethylethyl)-6-methylphenyl)ethyl ester (CAS Reg. No. 145650-60-8). The FCS is also known as bis(2,4-di-tert-butyl-6-methylphenyl)ethyl phosphite. REPLACES FCN 51.",BASF Corporation
231,"Jun 25, 2002",2002,Styrene-acrylic copolymers.,BASF Corporation
229,"Aug 16, 2002",2002,Trilauryl phosphite (CAS Reg. No. 3076-63-9).,General Electric
228,"Jun 12, 2002",2002,"Silaneamine, 1,1,1-trimethyl-N-(trimethylsylyl)-, hydrolysis products with silica (CAS Reg. No. 68909-20-6) or Silica ((dimethylvinylsilyl)oxy)- and ((trimethylsily)oxy)-modified (CAS Reg. No. 68988-89-6).",Wacker Silicones Corp.
224,"Jun 7, 2002",2002,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate (TXIB) (CAS Reg. No. 6846-50-0).",Eastman Chemical Co.
222,"Jun 1, 2002",2002,"1,5-Cyclooctadiene (CAS Reg. No. 111-78-4).",Degussa-Huls Corp.
221,"May 24, 2002",2002,"An approximately 1:1 mixture of hydroxymethyl-5,5-dimethylhydantoin (MMDMH)(CAS Reg. No. 27636-82-4) and 1,3-bis(hydroxymethyl)-5,5-dimethylhydantoin (DMDMH), (CAS Reg. No. 6440-58-0), containing up to 8.5 percent by weight residual 5,5-dimethylhydantoin on a dry basis (DMH)(CAS Reg. No. 77-71-4) or up to 5.5 percent in the formulated product.","Arxada, LLC"
220,"Jun 4, 2002",2002,Methyl methacrylate-trimethylolpropane trimethacrylate copolymers (CAS Reg. No. 28931-67-1).,Nippon Shokubai Ltd.
217,"May 3, 2002",2002,"2-Cyano-3,3-diphenyl-2-propenoic acid 2-ethylhexyl ester (CAS Reg. No. 6197-30-4).",BASF Aktiengesellschaft
215,"Apr 30, 2002",2002,Poly(ethylene-methyl acrylate-cyclohexenylmethyl acrylate) (CAS Reg. No. 223503-47-7).,"Cryovac, Inc."
212,"Apr 26, 2002",2002,"2-Cyano-3,3-diphenyl-2-propenoic acid ethyl ester (CAS Reg. No. 5232-99-5).",BASF Aktiengesellschaft
211,"May 25, 2002",2002,Isophthalic acid (CAS Reg. No. 121-91-5).,Eastman Chemical Company
208,"Apr 3, 2002",2002,"Acetic acid ethenyl ester, polymer with ethenol and dimethyl maleate (DMM). This material is equivalent to poly(vinyl acetate-vinyl alcohol) (CAS Reg. No. 25213-24-5), polymerized with DMM (CAS Reg. No. 624-48-6)).",Synthomer (UK) Ltd.
204,"May 28, 2002",2002,"A mixture of the lithium salts of stearic acid (69.5 weight percent), palmitic acid (25.8 weight percent), myristic acid (1.6 weight percent), arachidonic acid (1 weight percent), and other carboxylic acids (2.1 weight percent).",Asahi Denka Kogyo K.K.
203,"May 24, 2002",2002,"Acetic acid ethenyl ester, polymer with α-hydro-ω-hydroxypoly(oxy-1,2-ethanediyl), hydrolyzed.",Synthomer (UK) Ltd.
202,"May 4, 2002",2002,"Aluminum, hydroxybis(2,4,8,10-tetrakis(1,1-dimethylethyl)-6-hydroxy-12H-dibenzol(d,g)(1,3,2)dioxaphosphocin 6-oxidato)-, (CAS Reg. No. 151841-65-5). The FCS will be manufactured and characterized as described in the notification.",Asahi Denka Kogyo K.K.
201,"May 30, 2002",2002,"2H-benzimidazole-2-thione, 1,3-dihydro-, 4(or 5)-methyl-, zinc salt(2:1) containing up to 4 percent by weight petroleum process oil.","Vanderbilt Chemicals, LLC"
200,"Mar 20, 2002",2002,Pyromellitic dianhydride (CAS Reg. No. 89-32-7).,Nippon Shokubai Co. Ltd. Gruppo Mossi & Ghisolfi
199,"Apr 20, 2002",2002,"A mixture of imidazolium and imidazoline compounds, 9-Octadecenoic acid (9Z)-, reaction products wirh diethylenetriamine, cyclized, diethyl sulfate quaternized (CAS Reg. No. 68511-92-2) and Amides, C 18 and C 18 -unsaturated, N-(2-(2-(C17 and C17-unsaturated alkyl)-4,5-dihydro-1H-imidazol-1-yl)ethyl)- (CAS Reg. No. 71808-32-7).",Solenis LLC
198,"Mar 13, 2002",2002,"A copolymer of dimethyl terephthalate (CAS Reg. No. 120-61-6), 1,3-dimethyl-5-sulfo-1,3-benzenedicarboxylate, sodium salt (CAS Reg. No. 3965-55-7), and 1,6-hexanediol (CAS Reg. No. 629-11-8).",Teijin Ltd.
197,"Mar 8, 2002",2002,"Copolymers (polyurethanes) produced from 4,4'-methylenebis(cyclohexylisocyanate), polytetramethylene glycol, and polyethylene glycol (CAS Reg. No. 375387-19-2).",UCB Films PLC
196,"May 14, 2002",2002,1-Dodecene (CAS Reg. No. 112-41-4).,Wacker Chemie/Wacker Silicones
194,"Mar 6, 2002",2002,Di-tert-amyl peroxide (CAS Reg. No. 10508-09-5).,Pergan Marshall LLC
193,"Mar 6, 2002",2002,"Silver zinc zeolite, a mixture of silver-magnesium-zinc-calcium phosphate sodium alumino silicate, zinc oxide (CAS Reg. No. 1314-13-2), and hydrotalcite (CAS Reg. No. 12304-65-3).","Kanebo Chemical Industries, Ltd."
192,"Feb 27, 2002",2002,"12H-dibenzol(d,g)(1,3,2)dioxaphosphocin, 2,4,8,10-tetrakis(1,1-dimethylethyl)-6-((2-ethylhexyl)oxy)- (CAS Reg. No. 126050-54-2).",Asahi Denka Kogyo K.K.
191,"Apr 20, 2002",2002,Hydrolized tetraethyl silicate (CAS Reg. No. 68412-37-3),Wacker Chemie/Wacker Silicones
190,"Feb 16, 2002",2002,"Copolymers of methyl methacrylate, acrylonitrile, butadiene and styrene (CAS Reg. No. 9010-94-0). The polymers will be manufactured and characterized as described in the notification.",SABIC Innovative Plastics
189,"May 24, 2002",2002,"Di-(para-methylbenzylidene)sorbitol (CAS Reg. No. 54686-97-4, 197809-37-3 and 81541-12-0) containing up to 1 percent triisopropanolamine.",BASF Corporation
186,"Jan 30, 2002",2002,"Cis-endo-bicyclo(2.2.1)heptane-2,3-dicarboxylic acid, disodium salt (CAS Reg. No. 351870-33-2).","Milliken Chemical, Division of Milliken & Co."
185,"Jan 29, 2002",2002,Amorphous hydrogenated carbon coating produced from acetylene as the carbon source in a radio-frequency plasma as described in the notification.,Mitsubishi Shoji Plastics Corp.
184,"Jan 26, 2002",2002,"Phenol, 2-(2H-benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)- (CAS Reg. No. 70321-86-7).",BASF Corporation
183,"Jan 26, 2002",2002,"Butanedioic acid, dimethyl ester, polymer with 4-hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol (CAS Reg. No. 65447-77-0).",BASF Corporation
182,"Jan 17, 2002",2002,"Polyamidoamine-ethyleneimine-epichlorohydrin resin prepared by reacting hexanedioic acid, 1,2-ethanediamine, N-(2-aminoethyl)-1,3-propanediamine, N,N''-1,2-ethanediylbis-1,3-propanediamine, (chloromethyl)oxirane, ethyleneimine(aziridine), and polyethylene glycol, and partly neutralized with sulfuric acid (CAS Reg. No. 167678-43-5) or formic acid (CAS Reg. No. 114133-44-7).",BASF AG/BASF Corporation
181,"Jan 15, 2002",2002,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-,octadecyl ester (CAS Reg. No. 2082-79-3). The FCS is also known as octadecyl 3,5-di-tert-butyl-4-hydroxyhydrocinnamate.",BASF Corporation
180,"Mar 6, 2002",2002,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis(5-((4-(bis(2-hydroxyethyl)amino)-6-((4-sulfophenyl)amino)-1,3,5-triazin -2-yl)amino)-, tetrasodium salt (CAS Reg. No. 16470-24-9).","3V, Inc."
179,"Jan 3, 2002",2002,"Copolymers and polymers made from the reaction of dimethyl terephthalate or terephthalic acid with a mixture containing 99 to 0 mole percent of ethylene glycol and 1 to 100 mole percent of 1,4-cyclohexanedimethanol (70 percent trans isomer, 30 percent cis isomer). The FCS is further identified as follows: Ethylene-1,4-cyclohexylenedimethylene terephthalate copolymers (CAS Reg. No. 25640-14-6), manufactured from dimethylterephthalate (DMT), ethylene glycol (EG), and 1,4-cyclohexanedimethanol (CHDM). Ethylene-1,4-cyclohexylenedimethylene terephthalate copolymers (CAS Reg. No. 25038-91-9), manufactured from terephthalic acid (TPA), EG, and CHDM. 1,4-cyclohexylenedimethylene terephthalate copolymers (CAS Reg. No. 25135-20-0), manufactured with DMT and CHDM. 1,4-cyclohexylenedimethylene terephthalate copolymers (CAS Reg. No. 25037-99-4), manufactured with TPA and CHDM.",Eastman Chemical Company
178,"Jan 3, 2002",2002,Polylactide polymers (CAS Reg. No. 9051-89-2). The polymers will be manufactured and characterized as described in the notification.,NatureWorks LLC
177,"Feb 19, 2002",2002,Aluminum lithium carbonate hydroxide trihydrate (CAS Reg. No. 150607-28-6).,"Mizusawa Industrial Chemicals, Ltd., Tokyo, Japan"
176,"Dec 27, 2001",2001,"Phenol, 2-(1,1-dimethylethyl)-6-methyl-4-(3-((2,4,8,10-tetrakis(1,1-dimethylethyl)dibenzo(d,f)(1,3,2)dioxaphosphepin-6-yl)oxy)propyl)- (CAS Reg. No. 203255-81-6).","Sumitomo Chemical Company, Ltd."
175,"Feb 7, 2002",2002,"2-Pyridinethiol-1-oxide, sodium salt (CAS Reg. No. 3811-73-2).","Arch Chemicals, Inc."
174,"Dec 20, 2001",2001,"Copolymers produced by the polymerization of 6-hydroxy-2-naphthoic acid and 4-hydroxybenzoic acid. The copolymers have the CAS name 2-naphthalenecarboxylic acid, 6-hydroxy-, polymer with 4-hydroxybenzoic acid (CAS Reg. No. 81843-52-9). The copolymers should be manufactured and characterized as described in the notification.",Daicel Corporation
173,"Feb 16, 2002",2002,"Polyacrylic acid homopolymer, or copolymer of acrylic acid and up to 10 percent alkyl (C 10 -C 30 ) methacrylate, crosslinked with either allyl sucrose (CAS Reg. No. 68784-14-5) or allyl pentaerythritol (CAS Reg. No. 91648-24-7); optionally contains up to 7 percent block copolymer surfactant of fatty acid (C 12 -C 18 ) and polyethylene glycol.",Lubrizol Advanced Materials
172,"Dec 11, 2001",2001,"5,7-bis(1,1-dimethylethyl)-3-hydroxy-2(3H)-benzofuranone, reaction products with o-xylene (CAS Reg. No. 181314-48-7).",BASF Corporation
168,"Nov 28, 2001",2001,"An approximately 1:1 ratio mixture of hydroxymethyl-5,5-dimethylhydantoin (MMDMH) (CAS Reg. No. 27636-82-4) and 1,3-bis(hydroxymethyl)-5,5-dimethylhydantoin (DMDMH) (CAS Reg. No. 6440-58-0), containing up to 8.5 percent by weight dimethylhydantoin.","Arxada, LLC"
166,"Nov 13, 2001",2001,"Aromatic petroleum hydrocarbon resin, hydrogenated (CAS Reg. No. 88526-47-0), produced by the catalytic polymerization of aromatic substituted olefins from low boiling distillates of cracked petroleum stocks with a boiling point no greater than 220°C (428°F), and the subsequent catalytic reduction of the resulting aromatic petroleum hydrocarbon resin.","Arakawa Chemical Industries, Ltd."
165,"Oct 16, 2001",2001,Polyphenylene sulfide (CAS Reg. No. 25212-74-2 or 26125-40-6).,Daicel Corporation and Kureha
164,"Oct 16, 2001",2001,"Phenol, 2-(5-chloro-2H-benzotriazol-2-yl)-4,6-bis(1,1-dimethylethyl)- (CAS Reg. No. 3864-99-1).",BASF Corporation
163,"Oct 11, 2001",2001,A mixture of ca. 49 percent by weight of polyethylene glycol (400) monooleate and ca. 34 percent by weight of polyethylene glycol (400) dioleate.,"Arxada, LLC"
162,"Oct 4, 2001",2001,"2-Propenoic acid, methyl ester, telomer with 1-dodecanethiol, C 16 -C 18 alkyl esters (CAS Reg. No. 174254-23-0).",Evonik Corporation
161,"Oct 2, 2001",2001,"Piperylene/2-methyl-2-butene copolymer resins (CAS Reg. No. 26813-14-9) and Piperylene/2-methyl-2-butene/α-methylstyrene terpolymer resins (CAS Reg. No. 62258-49-5), and as further described in the identity and manufacturing sections of the notification.","Total Petrochemicals & Refining USA, Inc."
157,"Sep 13, 2001",2001,"1. Cellulose, regenerated, polymer with epichlorohydrin, 2-(diethylamino) ethyl 2-hydroxypropyl ether, (CAS Reg. No. 343845-30-7) (High Capacity). The FCS is also referred to as diethylaminoethyl (DEAE) ion exchange cellulose resin (High Capacity). 2. Cellulose, regenerated, polymer with epichlorohydrin, 2-(diethylamino) ethyl ether, (CAS Reg. No. 343846-01-5) (Medium Capacity). The FCS is also referred to as diethylaminoethyl (DEAE) ion exchange cellulose resin (Medium Capacity).",Invitrogen Corporation
156,"Sep 4, 2001",2001,"Cellulose, regenerated polymer with epichlorohydrin, carboxymethyl 2-hydroxypropyl ether (CAS Reg. No. 343844-23-5). The FCS is also referred to as carboxymethyl (CM) ion exchange cellulose resin.",Invitrogen Corporation
155,"Aug 31, 2001",2001,Silicon dioxide (CAS Reg. No. 7631-86-9).,"Tetra Pak, Inc."
151,"Aug 29, 2001",2001,Pyromellitic dianhydride (CAS Reg. No. 89-32-7).,Gruppo Mossi & Ghisolfi
150,"Aug 24, 2001",2001,"Quinacridone red (Alternate names: (1) Quino(2,3-b)acridine-7,14-dione, 5, 12-dihydro- and (2) C.I. Pigment violet 19, C.I. 73900) (CAS Reg. No. 1047-16-1).","Colors and Effects USA LLC, BASF Corporation"
148,"Aug 7, 2001",2001,"2-Acrylamido-2-methylpropanesulfonic acid, in its free acid form (CAS Reg. No. 15214-89-8), and its sodium (CAS Reg. No. 5165-97-9), calcium (CAS Reg. No. 95176-15-1), potassium (CAS Reg. No. 52825-28-2), ammonium (CAS Reg. No. 58374-69-9), and lithium (CAS Reg. No. 77817-87-9) salts.",Lubrizol Corporation
147,"Aug 4, 2001",2001,"Ethylene phthalate polymers identified in 21 CFR 177.1630(e)(4)(i) and 177.1630(e)(4)(ii), items 2 and 3, 177.1637 and FCN numbers 4, 13, 14, 135 and 145 modified with polybutadienediol (PBD) (CAS Reg. Name: 1,3-Butadiene, homopolymer, hydroxy-terminated) (CAS Reg. No. 69102-90-5).",ColorMatrix Group Inc.
146,"Aug 2, 2001",2001,Poly-1-butene polymers (CAS Reg. No. 009003-28-5) and butene/ethylene copolymers (CAS Reg. No. 25087-34-7) as identified in 21 CFR 177.1570(a).,Basell Polyolefins N.V.
145,"Jul 31, 2001",2001,"Ethylene phthalate polymers identified in 21 CFR 177.1630(e)(4)(i) and 177.1630(e)(4)(ii), items 2 and 3, 177.1637 and FCN numbers 4, 13, 14, and 135 modified with 1,2,4,5-benzenetetracarboxylic dianhydride (pyromellitic dianhydride (PMDA)) (CAS Reg. No. 89-32-7).",ColorMatrix Group Inc.
144,"Jul 25, 2001",2001,"5-sulfo-1,3-benzenedicarboxylic acid, monosodium salt (CAS Reg. No. 6362-79-4).",Eastman Chemical Company
143,"Jul 20, 2001",2001,"Octadecanoic acid, methyl ester, reaction products with 1-(2-hydroxy-2-methylpropoxy)-2,2,6,6-tetramethyl-4-piperidinol (CAS Reg. No. 300711-92-6).",BASF Corporation
142,"Jul 19, 2001",2001,"Silicones and siloxanes, dimethyl, methylhydrogen, reaction products with polyethylene glycol monoallyl ether acetate (CAS Reg. No. 70914-12-4).",Dow Silicones Corporation
141,"Jul 10, 2001",2001,"Cross-linked terpolymer of 1-vinylimidazole,1-vinylpyrrolidone and 1,3-divinylimidazolidinone (CAS Reg. No. 87865-40-5). The FCS is also known as Polyvinylimidazol.",Gordon Burns and Robert Ellsworth
140,,,REPLACED BY FCN 2046,
137,"Jun 6, 2001",2001,Anthranilamide. The Chemical Abstracts Service (CAS) name is 2-aminobenzamide (CAS Reg. No. 88-68-6).,"Coca-Cola Co., ColorMatrix Corp. and KoSa"
135,"May 30, 2001",2001,"Dimethyl 2,6-naphthalenedicarboxylate (NDC, CAS Reg. No. 840-65-3) or 2,6-naphthalenedicarboxylic acid (NDA, CAS Reg. No. 1141-38-4).",Indorama Ventures Xylenes & PTA LLC
134,"May 30, 2001",2001,Sodium zeolite A (CAS Reg. No. 68989-22-0).,PQ Corporation
133,"May 30, 2001",2001,"Bis-1,2-((N,N-diacetyl)amino)ethane (CAS Reg. No. 10543-57-4).","Warwick International, Ltd."
132,"May 19, 2001",2001,"Quino(2,3-b)acridine-7, 14-dione,4,11-dichloro-5,12-dihydro- (CAS Reg. No. 3089-16-5).",Colors and Effects USA LLC
131,"Apr 17, 2001",2001,2-Methyl-4-isothiazolin-3-one (CAS Reg. No. 2682-20-4).,LANXESS Corporation
130,"May 3, 2001",2001,Styrene-acrylic copolymers.,BASF Corporation
129,"Jul 21, 2001",2001,"Ethene, tetrafluoro-, polymer with 1,1-difluoroethene and trifluoro(trifluoromethoxy)ethene (CAS Reg. No. 56357-87-0) modified with 1,3,5-triallyl isocyanurate (TAIC) and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterized as further described in the notification.",Syensqo Specialty Polymers Italy S.p.A.
128,"Jul 21, 2001",2001,"A copolymer of tetrafluoroethylene (TFE) and perfluoromethylvinyl ether (PFMVE) (CAS Reg. No. 26425-79-6) modified with 1,3,5-triallyl isocyanurate (TAIC) and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterized as further described in the notification.",Syensqo Specialty Polymers Italy S.p.A.
127,"Jul 21, 2001",2001,"1-Propene,1,1,2,3,3,3-hexafluoro-, polymer with 1,1-difluoroethene and tetrafluoroethene (CAS Reg. No. 25190-89-0) modified with triallyl isocyanurate and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterized as further described in the notification.",Syensqo Specialty Polymers Italy S.p.A.
126,"Jul 21, 2001",2001,"1,9-Decadiene,3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-, polymer with tetrafluoroethene and trifluoro(trifluoromethoxy)ethene (CAS Reg. No. 190062-24-9), manufactured and characterized as further described in the notification.",Syensqo Specialty Polymers Italy S.p.A.
125,"Apr 27, 2001",2001,Polyphenylene ether (CAS Reg. No. 25134-01-4).,SHPP US LLC
124,"Jul 4, 2001",2001,"Styrene block copolymers with 1,3-butadiene, containing not less than 71 weight percent of polymer units derived from styrene, to which may be optionally added octadecyl 3,5-di-tert-butyl-4-hydroxyhydrocinnamate (CAS Reg. No. 2082-79-3) at levels not to exceed 0.25 percent by weight of the styrene block polymer.",Arkema Inc.
123,"Apr 11, 2001",2001,"Polyester-epoxy-urethane adhesives formulated from: 1. Polyester resins described in 21 CFR 177.1390(c)(2)(v)(a). 1,6-Hexanediol may also be used as an optional polyhydric alcohol. 2. Optional epoxy resin listed in 21 CFR 175.300(b)(3)(viii)(a) and comprising up to 30 percent by weight of the cured adhesive. 3. Urethane cross-linking agent, as described in 21 CFR 177.1390(c)(2)(v)(c). 4. Optional trimethoxysilane coupling agents containing epoxy and/or ether groups not to exceed 3 percent by weight of the cured adhesive.","Toyo-Morton, Limited"
119,"Mar 21, 2001",2001,Xanthan Gum (CAS Reg. No. 11138-66-2).,Avecia Inc.
118,"Mar 9, 2001",2001,"2,9-bis(4-(phenylazo)phenyl)anthra (2,1,9-def:6,5,10-d'e'f')diisoquinoline-1,3,8,10(2H, 9H)-tetrone (C.I. Pigment Red 178; CAS Reg. No. 3049-71-6).",Colors and Effects USA LLC
117,"May 17, 2001",2001,Styrene-butyl acrylate copolymers.,Rohm and Haas Company
116,"Mar 15, 2001",2001,"Benzene propanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy, C13-C15 branched and linear alkyl esters (CAS Reg. No. 171090-93-0).",Addivant
115,"May 9, 2001",2001,"2,9-bis(3,5-dimethylphenyl)anthra(2,1,9-def:6,5,10-d'e'f')diisoquinoline-1,3,8,10(2 H, 9H)-tetrone (C.I. Pigment Red 149; CAS Reg. No. 4948-15-6).",Colors and Effects USA LLC
113,"Feb 20, 2001",2001,"2,4-dimethyl-6-(1-methylpentadecyl)phenol (CAS Reg. No. 134701-20-5).",BASF Corporation
112,"Feb 20, 2001",2001,"Tris (2,4-di-tert-butylphenyl)phosphite (CAS Reg. No. 31570-04-4).",BASF Corporation
111,"Feb 20, 2001",2001,2-Methyl-4-isothiazolin-3-one (CAS Reg. No. 2682-20-4) as a 20 percent solution.,Thor GmbH
110,"Feb 17, 2001",2001,"Nitrile rubber-modified acrylonitrile-methyl acrylate copolymers (CAS Name: Polybutadiene-graft-poly(methyl acrylate-co-acrylonitrile), CAS Reg. No. 27012-62-0).",INEOS USA LLC
109,"Jan 24, 2001",2001,"((1,2,5,6-η)-1,5-cyclooctadiene)bis((4-(trimethylsilyl)phenyl)ethynyl)platinum (CAS Reg. No. 234112-62-0).",Wacker Silicones Corporation
